"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1479","Placing an order","","Mon Sep 15 17:21:18 IST 2025","passed","Mon Sep 15 17:21:19 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1425","Login fails with invalid credentials","","Mon Sep 15 17:28:27 IST 2025","passed","Mon Sep 15 17:28:28 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1326","Login fails with invalid credentials","","Mon Sep 15 17:28:24 IST 2025","passed","Mon Sep 15 17:28:25 IST 2025","","","",""
"","1835","Placing an order","","Mon Sep 15 15:25:23 IST 2025","passed","Mon Sep 15 15:25:25 IST 2025","","","",""
"","1973","Placing an order","","Mon Sep 15 17:21:07 IST 2025","passed","Mon Sep 15 17:21:09 IST 2025","","","",""
"","1688","Placing an order","","Mon Sep 15 15:25:14 IST 2025","passed","Mon Sep 15 15:25:16 IST 2025","","","",""
"","1725","Placing an order","","Mon Sep 15 17:21:19 IST 2025","passed","Mon Sep 15 17:21:21 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1939","Placing an order - Invalid user","","Mon Sep 15 15:25:33 IST 2025","passed","Mon Sep 15 15:25:35 IST 2025","","","",""
"","1644","Placing an order","","Mon Sep 15 17:21:09 IST 2025","passed","Mon Sep 15 17:21:11 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1898","Login fails with invalid credentials","","Mon Sep 15 15:25:27 IST 2025","passed","Mon Sep 15 15:25:28 IST 2025","","","",""
"","2777","Placing an order","","Mon Sep 15 15:25:12 IST 2025","passed","Mon Sep 15 15:25:14 IST 2025","","","",""
"","1758","Placing an order","","Mon Sep 15 15:25:25 IST 2025","passed","Mon Sep 15 15:25:26 IST 2025","","","",""
"","6899","Placing an order","","Mon Sep 15 15:25:16 IST 2025","passed","Mon Sep 15 15:25:23 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1586","Login fails with invalid credentials","","Mon Sep 15 15:25:30 IST 2025","passed","Mon Sep 15 15:25:32 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1574","Login fails with invalid credentials","","Mon Sep 15 15:25:32 IST 2025","passed","Mon Sep 15 15:25:33 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1377","Login fails with invalid credentials","","Mon Sep 15 17:28:25 IST 2025","passed","Mon Sep 15 17:28:27 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","961","While placing order, product is not found in dashboard","","Mon Sep 15 17:51:17 IST 2025","broken","Mon Sep 15 17:51:18 IST 2025","","","",""
"","6497","Placing an order","","Mon Sep 15 17:21:11 IST 2025","passed","Mon Sep 15 17:21:18 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1630","Placing an order - Invalid user","","Mon Sep 15 17:42:32 IST 2025","passed","Mon Sep 15 17:42:33 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1612","Login fails with invalid credentials","","Mon Sep 15 17:28:22 IST 2025","passed","Mon Sep 15 17:28:24 IST 2025","","","",""
"User tries to login with wrong or invalid credentials","1564","Login fails with invalid credentials","","Mon Sep 15 15:25:29 IST 2025","passed","Mon Sep 15 15:25:30 IST 2025","","","",""
